DateTime,State,Fuel Type,Supply
26/06/2021 00:00,NSW,Gas,2815.432
26/06/2021 00:00,NSW,Hydro,10068.734
26/06/2021 00:00,NSW,Liquid Fuel,0
26/06/2021 00:00,NSW,Solar,4504.274
26/06/2021 00:00,NSW,Wind,19812.232
26/06/2021 00:00,QLD,Battery,0
26/06/2021 00:00,QLD,Biomass,1509.283
26/06/2021 00:00,QLD,Black coal,131671.374
26/06/2021 00:00,QLD,Gas,12685.396
26/06/2021 00:00,QLD,Hydro,2864.694
26/06/2021 00:00,QLD,Liquid Fuel,252.165
26/06/2021 00:00,QLD,Solar,3516.528
26/06/2021 00:00,QLD,Wind,4905.006
26/06/2021 00:00,SA,Battery,172.79
26/06/2021 00:00,SA,Gas,20712.179
26/06/2021 00:00,SA,Liquid Fuel,13.657
26/06/2021 00:00,SA,Solar,1282.033
26/06/2021 00:00,SA,Wind,17889.575
26/06/2021 00:00,TAS,Gas,66.346
26/06/2021 00:00,TAS,Hydro,20528.272
26/06/2021 00:00,TAS,Wind,5671.036
26/06/2021 00:00,VIC,Battery,73.864
26/06/2021 00:00,VIC,Brown coal,85235.47
26/06/2021 00:00,VIC,Gas,3462.693
26/06/2021 00:00,VIC,Hydro,10627.032
26/06/2021 00:00,VIC,Solar,1875.617
26/06/2021 00:00,VIC,Wind,25894.83
27/06/2021 00:00,NSW,Black coal,157457.506
27/06/2021 00:00,NSW,Gas,4043.5
27/06/2021 00:00,NSW,Hydro,5656.685
27/06/2021 00:00,NSW,Liquid Fuel,0
27/06/2021 00:00,NSW,Solar,5459.873
27/06/2021 00:00,NSW,Wind,13429.167
27/06/2021 00:00,QLD,Battery,0
27/06/2021 00:00,QLD,Biomass,1591.675
27/06/2021 00:00,QLD,Black coal,128696.532
27/06/2021 00:00,QLD,Gas,10644.793
27/06/2021 00:00,QLD,Hydro,2941.418
27/06/2021 00:00,QLD,Liquid Fuel,48.75
27/06/2021 00:00,QLD,Solar,8263.277
27/06/2021 00:00,QLD,Wind,5226.013
27/06/2021 00:00,SA,Battery,263.558
27/06/2021 00:00,SA,Gas,28015.767
27/06/2021 00:00,SA,Liquid Fuel,0
27/06/2021 00:00,SA,Solar,976.222
27/06/2021 00:00,SA,Wind,5876.575
27/06/2021 00:00,TAS,Gas,957.292
27/06/2021 00:00,TAS,Hydro,27549.822
27/06/2021 00:00,TAS,Wind,5377.202
27/06/2021 00:00,VIC,Battery,73.38
27/06/2021 00:00,VIC,Brown coal,86397.264
27/06/2021 00:00,VIC,Gas,7118.551
27/06/2021 00:00,VIC,Hydro,12457.858
27/06/2021 00:00,VIC,Solar,1203.693
27/06/2021 00:00,VIC,Wind,9697.272
28/06/2021 00:00,NSW,Black coal,173809.464
28/06/2021 00:00,NSW,Gas,8721.695
28/06/2021 00:00,NSW,Hydro,12568.891
28/06/2021 00:00,NSW,Liquid Fuel,0
28/06/2021 00:00,NSW,Solar,5740.299
28/06/2021 00:00,NSW,Wind,10561.398
28/06/2021 00:00,QLD,Battery,0
28/06/2021 00:00,QLD,Biomass,1559.475
28/06/2021 00:00,QLD,Black coal,128217.753
28/06/2021 00:00,QLD,Gas,13941.612
28/06/2021 00:00,QLD,Hydro,3355.997
28/06/2021 00:00,QLD,Liquid Fuel,424.017
28/06/2021 00:00,QLD,Solar,8000.92
28/06/2021 00:00,QLD,Wind,5868.626
28/06/2021 00:00,SA,Battery,284.922
28/06/2021 00:00,SA,Gas,21561.99
28/06/2021 00:00,SA,Liquid Fuel,0
28/06/2021 00:00,SA,Solar,1576.502
28/06/2021 00:00,SA,Wind,19266.985
28/06/2021 00:00,TAS,Gas,861.518
28/06/2021 00:00,TAS,Hydro,32235.529
28/06/2021 00:00,TAS,Wind,564.066
28/06/2021 00:00,VIC,Battery,69.172
28/06/2021 00:00,VIC,Brown coal,95588.525
28/06/2021 00:00,VIC,Gas,13697.982
28/06/2021 00:00,VIC,Hydro,16360.363
28/06/2021 00:00,VIC,Solar,2010.738
28/06/2021 00:00,VIC,Wind,7511.671
29/06/2021 00:00,NSW,Black coal,168094.317
29/06/2021 00:00,NSW,Gas,3697.177
29/06/2021 00:00,NSW,Hydro,11111.971
29/06/2021 00:00,NSW,Liquid Fuel,0
29/06/2021 00:00,NSW,Solar,7797.38
29/06/2021 00:00,NSW,Wind,15680.819
29/06/2021 00:00,QLD,Battery,0
29/06/2021 00:00,QLD,Biomass,1472.95
29/06/2021 00:00,QLD,Black coal,127797.411
29/06/2021 00:00,QLD,Gas,16243.983
29/06/2021 00:00,QLD,Hydro,3354.672
29/06/2021 00:00,QLD,Liquid Fuel,528.703
29/06/2021 00:00,QLD,Solar,5176.538
29/06/2021 00:00,QLD,Wind,9320.295
29/06/2021 00:00,SA,Battery,192.474
29/06/2021 00:00,SA,Gas,12486.528
29/06/2021 00:00,SA,Liquid Fuel,0
29/06/2021 00:00,SA,Solar,1717.662
29/06/2021 00:00,SA,Wind,24141.814
29/06/2021 00:00,TAS,Gas,211.614
29/06/2021 00:00,TAS,Hydro,24868.833
29/06/2021 00:00,TAS,Wind,3387.779
29/06/2021 00:00,VIC,Battery,52.081
29/06/2021 00:00,VIC,Brown coal,100879.709
29/06/2021 00:00,VIC,Gas,6031.356
29/06/2021 00:00,VIC,Hydro,12871.102
29/06/2021 00:00,VIC,Solar,3628.422
29/06/2021 00:00,VIC,Wind,25096.375
30/06/2021 00:00,NSW,Black coal,158489.267
30/06/2021 00:00,NSW,Gas,4769.11
30/06/2021 00:00,NSW,Hydro,9080.741
30/06/2021 00:00,NSW,Liquid Fuel,0
30/06/2021 00:00,NSW,Solar,5792.127
30/06/2021 00:00,NSW,Wind,17156.023
30/06/2021 00:00,QLD,Battery,0
30/06/2021 00:00,QLD,Biomass,1476.117
30/06/2021 00:00,QLD,Black coal,127570.704
30/06/2021 00:00,QLD,Gas,15583.638
30/06/2021 00:00,QLD,Hydro,3244.096
30/06/2021 00:00,QLD,Liquid Fuel,687.651
30/06/2021 00:00,QLD,Solar,5211.679
30/06/2021 00:00,QLD,Wind,7698.169
30/06/2021 00:00,SA,Battery,262.264
30/06/2021 00:00,SA,Gas,15175.836
30/06/2021 00:00,SA,Liquid Fuel,0
30/06/2021 00:00,SA,Solar,1721.504
30/06/2021 00:00,SA,Wind,17130.106
30/06/2021 00:00,TAS,Gas,0
30/06/2021 00:00,TAS,Hydro,23894.067
30/06/2021 00:00,TAS,Wind,5459.682
